GS-101,SINGLE BURNER STOVE SILVER,134.9,134.9
GS-102,SINGLE BURNER STOVE GOLD,134.9,134.9
GS-201,DOUBLE BURNER STOVE SILVER,134.9,134.9
RC-101,1L-350W-5CUP,134.9,149.25
RC-151,1.5L-500W-8CUP,134.9,149.25
RC-181,1.8L-700W-10CUP,134.9,149.25
RC-221,2.2L-900W-12CUP,134.9,149.25
FI351,FLAT IRON,134.9,144.7
AWF-16-40A,WALL FAN,134.9,168.85
ADF-12-30,DESK FAN,134.9,134.9
BD-301,BLENDER 2.2L SMALL,134.9,116.2
BD-302,BLENDER 2.2L BIG,132,174
EN471,VEST,134.9,134.9
10300,BAR CODE STICKER WHITE,134.9,172.3
13020,BARCODE THERMAL PAPER,134.9,137.2
55500,PAINT ROLLER SMALL,134.9,134.9
BF888S,PORTABLE TWO WAY RADIO VHF/UFF FM TRANSCEIVER,134.9,155.25
S0303,S/S FRUIT RACK 3 LAYER,109,212
70001,BABY WIPES SCENTED,134.9,81.4
70002,WET WIPES,134.9,78.3
70003,WET WIPES SCENTED,134.9,81.4
20081,081 10L WATER JUG W/ FAUCET,134.9,180.7
20082,082 2L  WATER JUG,134.9,183.9
20083,083 1.2L WATER JUG,134.9,143.6
20085,085 6.5L WATER JUG W/ FAUCET,134.9,134.9
20086,086 3L WATER JUG W/ FAUCET,134.9,179.85
20088,088 21L WATER JUG,134.9,148.4
60091,0091 SMALL WATER JUG,134.9,88.6
60100,0100 BIG WATER JUG,127,167
22011,2011 SMALL COOL JUG SQUARE,134.9,134.9
58801,OPL-12L PORTABLE CAR WASHER,134.9,179.6
58802,22L-01 POWER PUMP PRESSURE WASHER,134.9,111.65
74575,45x75CM KITCHEN WALL COVER,134.9,148.45
76090,60x90CM KITCHEN WALL COVER,134.9,192.8
82720,27x20 STAINLESS TRAY,134.9,134.9
83222,32x22 STAINLESS TRAY,134.9,134.9
83627,36x27 STAINLESS TRAY,134.9,134.9
MK7001,BAG PACK,134.9,131.7
MK7002,BAG PACK GRAY,134.9,113.3
MK7003,BAG PACK SINGLE STRAP,134.9,147.3
MK7004,BAG PACK,134.9,143.65
MK7005,BAG PACK,134.9,129.8
MK7006,MESSENGER BAG,134.9,127.45
60003,3047 TRASH PAIL PLASTIC 51CM,115,130
68971,TRASH PAIL SMALL,129,146
60004,TRASH PAIL W/ COVER,134.9,124.65
63520,520 TRASH PAIL W/ DESIGN,134.9,160.7
YO1,"27""X54""BATH TOWEL PLAIN W/ DESIGN",134.9,95.65
YO2,"27""X54""BATH TOWEL PLAIN SOFT",134.9,90.85
30101,SCARF,134.9,134.9
30447,HANDKERCHIEF STRIPE,134.9,134.9
30471,HANDKERCHIEF CHECKERED,134.9,134.9
30501,HANDHERCHIEF WHITE,134.9,134.9
BF022,FACE TOWEL WHITE 27X25CM,134.9,134.9
BTO4,FACE TOWEL WHITE 50X28CM,134.9,93.4
GF07,FACE TOWEL CHECKERED LINE 30X30CM,114,129
GF08,FACE TOWEL STRIPE LINE 30X30CM,133,133
73030,2 PCS 15x30CM CAR TOWEL,134.9,158.35
73035,2 PCS 17.5x35CM CAR TOWEL,134.9,138
72071,HAND TOWEL 11x11 INCH,119,156
72072,HAND TOWEL 12x12 INCH,119,156
72073,HAND TOWEL 16x11x5 INCH,134.9,136.65
72074,HAND TOWEL 12x12 INCH,121,161
70150,"TOOTHPICK 12""S ROUND",134.9,134.9
70151,"TOOTHPICK 2""S",134,139
70152,"TOOTHPICK 2""S FLOWER OVAL",124,139
70153,"TOOTHPICK 12""S FLOWER",134.9,78.7
70154,TOOTHPICK 12'S ROUND,134.9,78.95
70155,TOOTHPICK 2'S FLOWER,130,145
70156,TOOTHPICK 2'S ROUND W/DESIGN,133,139
70157,TOOTHPICK 2'S ROUND,127,139
72477,TOOTHBRUSH,134.9,134.9
81019,6IN1 FOOD TONG STAINLESS,134.9,116
81009,9' CLASSIC FOOD TONG,134.9,74
81012,12' CLASSIC FOOD TONG,134.9,74
81014,14' CLASSIC FOOD TONG,134.9,74
82019,STAINLESS ICE TONG,134.9,134.9
81384,2 PCS PLASTIC FOOD TONG,127,152
81385,2 PCS PLASTIC FOOD TONG,116,152
81386,2 PCS PLASTIC FOOD TONG,128,152
72923,CLASSIC TOILET PUMP WOOD HANDLE,52,158
78012,TOILET PUMP RED,46,158
78013,TOILET PUMP RED BIG,56,163
78014,TOILET PUMP CLEAR,54,160
72837,TOILET PUMP VACUUM,52,158
H801,801 TISSUE,134.9,170.3
H802,802 TISSUE,134,178
H803,BATHROOM TISSUE,134.9,180.6
HC008B,SCENTED TISSUE,134.9,144.65
20060,LF60060-1 0.60L THERMOS,55,108
20160,LF60100-1 1.0L THERMOS,56,110
20180,LF60180-1 1.8L THERMOS,64,108
20168,UB168 2.2L THERMOS,71,156
20268,UB268 2.2L THERMOS,68,160
20211,211 1.0L THERMOS W/ CUP BIG,134.9,180.6
20221,221 1.0L THERMOS W/ CUP SMALL,134.9,115.4
20510,510 2.2L THERMOS,75,164
20516,516 2.2L PRINTED ALUMINUM THERMOS,76,142
20701,701 BOTTLE THERMOS 0.35L,134.9,180.6
20702,702  BOTTLE THERMOS 0.50L,134.9,180.6
20816,816 3.2L THERMOS,81,180
20817,817 3.2L THERMOS,79,176
22700,270 1.0L THERMOS,107,180
23303,3303.3.0L THERMOS,102,184
28116,2811 1.6 L THERMOS,112,184
28119,2811 1.9L THERMOS,134.9,180.6
68801,SY-8801 VACUUM  FLASK,134.9,158.5
69616,1.8 LITER THERMOS,90,182
69617,1.0 LITER THERMOS,76,184
80015,1.2 LITER VACUUM POT,134.9,180.6
79745,TABLE MAT RECTANGLE,134.9,118.45
GL6041,MANTEL ROSE W/ DESIGN 30M,134.9,148.05
GL6094,MANTEL ROSE FLORAL 30M,134.9,144.1
GL6117,MANTEL FRUIT 30M,134.9,139.95
