ASF-16-401,"STAND FAN ""16"
ASF-18-45I,"STAND FAN ""18"
13219,THERMAL
37001,UMBRELLA
55795,GUN TACKER
90009,E27 LED BULB HOLDER
90888,ICE SMASHER
B006,BAR CODE PRINTER
BLR01,BOLSTER
ET3610,TIME CARD MACHINE
JM6700T,GENERATOR
PW001,SQUARE PILLOW
UF-021,MINI USB FAN
20188,5IN1 WATER JUG
20092,092 3L WATER JUG
20093,093 1L WATER JUG
22010,2010 BIG COOL JUG SQUARE
60009,"""8009"" 8.5INCH WATER BOTTLE W/ COLORED LID & GRIP"
60601,601D WATER BOTTLE
60611,601C WATER BOTTLE
60615,615A WATER BOTTLE
60931,"931 4.5"" WATER BOTTLE W/ STRAW"
61012,"""1012"" 7"" WATER BOTTLE CLEAR W/ DESIGN"
61017,"""1017"" 6.5"" WATER BOTTLE CLEAR W/ DESIGN"
63001,143M504 PRINTED BOTTLE STARBUCKS 430ML
63002,143M522 BOTTLE HELLO KITTY 430ML
63003,BT143M504 BOTTLE W/ STARBUCKS HOLDER 430ML
63004,181M522 BOTTLE HELLO KITTY 300ML
63005,181M522A TEMPERED BOTTLE HELLO KITTY 300ML
63007,181M504 CLEAR BOTTLE STARBUCKS 300ML
63008,143M522A TEMPERED BOTTLE HELLO KITTY 430ML
63009,BT181M504 BOTTLE W/ STARBUCKS HOLDER 300ML
63021,3021 WATER BOTTLE W/ DESIGN HOLDER 300ML
63022,3022 WATER BOTTLE W/ DESIGN HOLDER 430ML
63031,3031 WATER BOTTLE PRINTED 300ML
63032,3032 WATER BOTTLE PRINTED 430ML
69912,"9912 5.5"" WATER BOTTLE W/ CUP LID"
69913,"9913 7"" WATER BOTTLE W/ CUP LID"
69915,TUMBLER W/CUP 18CM
71006,SHOT GLASS
66901,GLASS 6IN1 GREEN FLOWER 6CM
HK1006,1006 TRICYCLE W/ HEAD LIGHT
HK1100,TRICYCLE W /HORN
HK2002,#2002 TRICYCLE
HK2003,#2003 TRICYCLE
HK2016,TRICYCLE W/ TRUNK (FASHION)
HK211,B2-1 TRICYCLE
HK221,A2-2 TRICYCLE W/ COLORED WHEELS
HK510,TRICYCLE
HK513,TRICYCLE
HK616,TRICYCLE CLASSIC 
HK6688,TRICYCLE
HK815,TRICYCLE
SBL3107,3107FP TRICYCLE W/ HOOD
SBL3301,3301CP TRICYCLE
HK820,820 TRICYCLE
HK666,666 TRICYCLE
HK2004,2004 TRICYCLE
83040,30x40 STAINLESS TRAY
80002,S/S ASH TRAY
62667,667 PLASTIC STORAGE TRAY
62668,668 PLASTIC STORAGE TRAY
62669,669 PLASTIC STORAGE TRAY
GB1008,"""KABANA"" HAND BAG"
GB1009,"""KABANA"" LEATHER HAND BAG"
60032,032 PLASTIC TRASH PAIL
,ORDINARY BATH TOWEL PLAIN
,ORDINARY BATH TOWEL W/ DESIGN
6046,#6046 PLAIN TOWEL
6060,#6060 PAIN TOWEL
6070,#6070 PLAIN TOWEL
6073,#6073 PLAIN TOWEL
6032,#6032 STRIPE TOWEL
6039,#6039 STRIPE TOWEL
6009,#6009 TOWEL
6029,#6029 TOWEL
74880,43x32 CM SYNTHETIC CHAMOIS
74881,40x30 CM SYNTHETIC CHAMOIS
74882,43x32x0.2CM SYNTHETIC CHAMOIS
74883,43x32 CM COLOURED SYNTHETIC CHAMOIS 
74885,66x43 CM COLOURED SYNTHETIC CHAMOIS 
E316,SAN-A TOOTHBRUSH
20968,968 2.2L THERMOS
20818,818 3.2L THERMOS
20901,V901 2L THERMOS
20902,V902 2L THERMOS
20903,V903 2L THERMOS
20906,V906 2L THERMOS
20909,V909 2L THERMOS
22163,216 1.3L VACUUM FLASK
22190,219 1.OL THERMOS
28570,2857 1.0L THERMOS
28573,2857 1.3L THERMOS
28576,2857 1.6L THERMOS
28579,2857 1.9L THERMOS
30320,TARPULIN 32KG
30400,TARPULIN 40KG
30333,MANTEL 30M
GL6086,MANTEL ROSE CHECKERED 30M
35001,40x60 RECTANGULAR FOLDING TABLE
35004,50x70 RECTANGULAR FOLDING TABLE
35005,50x80 RECTANGULAR FOLDING  TABLE
35006,60x80 RECTANGULAR FOLDING TABLE
35007,70x70 SQUARE FOLDING  TABLE
35008,80x80 SQUARE FOLDING TABLE
35009,60x90 RECTANGULAR FOLDING TABLE
35010,90x90 SQUARE FOLDING  TABLE
35011,60x120 RECTANGULAR FOLDING TABLE
35012,90x90 ROUND FOLDING TABLE
35600,60x60 FOLDABLE TABLE
35700,70x70 FOLDABLE TABLE
35800,80x80 FOLDABLE TABLE
78082,STUDY TABLE GLASS
123B,3L TINTED GLASS RACK SQUARE
142A,2L GLASS RACK ROUND
143A,3L GLASS RACK ROUND
152A,2L GLASS RACK TRIANGLE
153A,3L GLASS RACK TRIANGLE
153B,3L TINTED GLASS RACK TRIANGLE
162B,2L TINTED GLASS RACK HEART
172A,2L GLASS RACK PEAR
173A,3L GLASS RACK PEAR
182A,2L GLASS RACK APPLE
183A,3L GLASS RACK APPLE
A101-2,40x60 FOLDING TABLE
A102-1,40x80 FOLDING TABLE
A103-1,60x60 FOLDING TABLE
A104-1,70x70 FOLDING TABLE
HK312,312 BABY TRICYCLE STROLLER
LT518,518 BABY STROLLER
SBL180,I80 BABY STROLLER w/ HOOD
SBL3105,3105 BABY TRICYCLE STROLLER
SBL902,902 BABY STROLLER
84014,14CM STRAINER
84016,16CM STRAINER
84018,18CM STRAINER
84020,20CM STRAINER
81318,STRAINER SET 6/8/10 CM
72525,BARBEQUE STICK 2.5x2.5CM
73031,BARBEQUE STICK 3.0x3.0CM
77127,REGULATOR
77010,RECTANGULAR BBQ.PAN
77100,1010B ELECTRIC SINGLE COIL PLATE
77200,2020B ELECTRIC DOUBLE COIL PLATE
20503,SB-3 MULTI STORAGE BOX 
20504,SB-4 MULTI STORAGE BOX 
20505,SB-5MULTI STORAGE BOX 
20506,SB-6 MULTI STORAGE BOX 
59501,STEEL NET 119x60
59502,STEEL NET 119x30
59503,STEEL NET 119x46
59504,STEEL NET 119x15
59505,STEEL NET 100x60
59506,STEEL NET 84x46
59507,STEEL NET 84x32
92335,1335 MULTIFUNCTION SOLAR LIGHTING SYSTEM AM/FM
92350,1350 MULTIFUNCTION SOLAR LIGHTING SYSTEM AM/FM
92501,1501 MULTIFUNCTION SOLAR LIGHTING SYSTEM AM/FM
98010,SOLAR PANEL 10W
98020,SOLAR PANEL 20W
98030,SOLAR PANEL 30W
98040,SOLAR PANEL 40W
98050,SOLAR PANEL 50W
98066,8066 SOLAR LIGHTING SYSTEM
98080,SOLAR PANEL 80W
98100,SOLAR PANEL 100W
98101,SILICON SOLAR PV MODULE 30W
98102,SILICON SOLAR PV MODULE 40W
98103,SILICON SOLAR PV MODULE 50W
98104,SILICON SOLAR PV MODULE 70W
98105,SILICON SOLAR PV MODULE 80W
98106,SILICON SOLAR PV MODULE 100W
98107,SILICON SOLAR PV MODULE 120W
98108,SILICON SOLAR PV MODULE 150W
98109,SILICON SOLAR PV MODULE 350W
98110,SILICON SOLAR PV MODULE  200W
98111,SILICON SOLAR PV MODULE 250W
98112,SILICON SOLAR PV MODULE 300W
98120,SOLAR PANEL 120W
98150,SOLAR PANEL 150W
98201,10W SOLAR PANEL
98202,20W SOLAR PANEL
76357,367 SOAP CASE W/ DESIGN
79062,550ML SPERKWASH DISHWASHING LIQUID CALAMANSI
79055,550ML SPERKWASH DISHWASHING LIQUID LEMON
79024,270ML SPERKWASH DISHWASHING LIQUID CALAMANSI
79017,270ML SPERKWASH DISHWASHING LIQUID LEMON
S203,550ML KITWASH DISHWASHING LIQUID CALAMANSI
S204,550ML KITWASH DISHWASHING LIQUID LEMON
S205,370ML KITWASH DISHWASHING LIQUID CALAMANSI
