ASF-16-401,"STAND FAN ""16"
ASF-18-45I,"STAND FAN ""18"
13219,THERMAL
B006,BAR CODE PRINTER
ET3610,TIME CARD MACHINE
JM6700T,GENERATOR
20188,5IN1 WATER JUG
20092,092 3L WATER JUG
20093,093 1L WATER JUG
22010,2010 BIG COOL JUG SQUARE
29705,9705 WATER JUG CLEAR W/ FAUCET
60009,"""8009"" 8.5INCH WATER BOTTLE W/ COLORED LID & GRIP"
60011,"""8011A"" 8.5INCH WATER BOTTLE W/ GRIP LINE"
60026,"""8026A"" 10 INCH WATER BOTTLE ALUMINUM PLAIN"
60050,"""8050"" 7.5 INCH WATER  BOTTLE W/ STRAW"
60063,"""8063"" 8 INCH PLASTIC  BOTTLE"
60071,"""8071""  9 INCH PLASTIC BOTTLE"
60087,"""8087"" 7 INCH PLASTIC BOTTLE 4 KIDS W/ STRAW"
60601,601D WATER BOTTLE
60611,601C WATER BOTTLE
60615,615A WATER BOTTLE
60650,"""8003""10 INCH WATER BOTTLE W/ DESIGN"
60816,"""816"" 8"" WATER BOTTLE"
60931,"931 4.5"" WATER BOTTLE W/ STRAW"
60985,"""8025A"" 10.5 INCH BOTTLE W/ LINES ON TOP/BOTTOM"
61009,"""6009"" 1000ML WATER  BOTTLE"
62539,"""2539"" 7.5 INCH  WATER BOTTLE W/ ALUMINUM COVER"
61012,"""1012"" 7"" WATER BOTTLE CLEAR W/ DESIGN"
61017,"""1017"" 6.5"" WATER BOTTLE CLEAR W/ DESIGN"
61517,"""1517"" 7.5"" CLEAR WATER BOTTLE COLORED LID"
62646,"""2646"" GLASS WATER BOTTLE"
63001,143M504 PRINTED BOTTLE STARBUCKS 430ML
63002,143M522 BOTTLE HELLO KITTY 430ML
63003,BT143M504 BOTTLE W/ STARBUCKS HOLDER 430ML
63004,181M522 BOTTLE HELLO KITTY 300ML
63005,181M522A TEMPERED BOTTLE HELLO KITTY 300ML
63006,PS1818M522(741) COLORED BOTTLE 300ML 
63007,181M504 CLEAR BOTTLE STARBUCKS 300ML
63008,143M522A TEMPERED BOTTLE HELLO KITTY 430ML
63009,BT181M504 BOTTLE W/ STARBUCKS HOLDER 300ML
65008,"""5008"" 5.5"" WATER BOTTLE"
65099,"""5009"" 5.5"" WATER BOTTLE "
63021,3021 WATER BOTTLE W/ DESIGN HOLDER 300ML
63022,3022 WATER BOTTLE W/ DESIGN HOLDER 430ML
63031,3031 WATER BOTTLE PRINTED 300ML
63032,3032 WATER BOTTLE PRINTED 430ML
65281,"""528"" 5.5"" WATER BOTTLE W/ STRAW"
65380,"""5380"" 5.5"" WATER BOTTLE W/ PRESS BUTTON OPENER"
68009,"""8009""  7"" WATER BOTTLE"
69912,"9912 5.5"" WATER BOTTLE W/ CUP LID"
69913,"9913 7"" WATER BOTTLE W/ CUP LID"
69915,TUMBLER W/CUP 18CM
BPT-100,10L WATER CONTAINER
22002,PLASTIC GRAY TWINE 700G
70028,CUP 4 PCS SET
20011,TUMBLER STAINLESS
20087,CUP PLASTIC
71006,SHOT GLASS
61801,LONG GLASS 6IN1 BLUE LEAF 5.5CM
60808,CURVE GLASS 6IN1 GREEN FLOWER 6CM
69901,GLASS 6IN1 PINK FLOWER 7CM
68301,GLASS 6IN1 PINK FLOWER 6CM
66901,GLASS 6IN1 GREEN FLOWER 6CM
HK1006,1006 TRICYCLE W/ HEAD LIGHT
HK1100,TRICYCLE W /HORN
HK2016,TRICYCLE W/ TRUNK (FASHION)
HK211,A2-1 TRICYCLE 
HK311,TRICYCLE
HK510,TRICYCLE
HK513,TRICYCLE
HK616,TRICYCLE CLASSIC 
HK6688,TRICYCLE
HK815,TRICYCLE
SBL3107,3107FP TRICYCLE W/ HOOD
SBL3301,3301CP TRICYCLE
83040,30x40 STAINLESS TRAY
80002,S/S ASH TRAY
GB1008,"""KABANA"" HAND BAG"
GB1009,"""KABANA"" LEATHER HAND BAG"
,ORDINARY BATH TOWEL PLAIN
,ORDINARY BATH TOWEL W/ DESIGN
74880,43x32 CM SYNTHETIC CHAMOIS
74881,40x30 CM SYNTHETIC CHAMOIS
74882,43x32x0.2CM SYNTHETIC CHAMOIS
74883,43x32 CM COLOURED SYNTHETIC CHAMOIS 
74885,66x43 CM COLOURED SYNTHETIC CHAMOIS 
E316,SAN-A TOOTHBRUSH
81016,16' CLASSIC FOOD TONG
20968,968 2.2L THERMOS
20818,818 3.2L THERMOS
20901,V901 2L THERMOS
20902,V902 2L THERMOS
20903,V903 2L THERMOS
20906,V906 2L THERMOS
20909,V909 2L THERMOS
22163,216 1.3L VACUUM FLASK
22190,219 1.OL THERMOS
22800,280 1.0L VACUUM FLASK
22803,280 1.3L VACUUM FLASK
22806,280 1.6L VACUUM FLASK
22809,280 1.9L VACUUM FLASK
28330,2833 1.0L VACUUM FLASK
28333,2833 1.3L VACUUM FLASK
28336,2833 1.6L VACUUM FLASK
28339,2833 1.9L VACUUM FLASK
28570,2857 1.0L THERMOS
28573,2857 1.3L THERMOS
28576,2857 1.6L THERMOS
28579,2857 1.9L THERMOS
28880,2888 1.0L ALUMINUM VACUUM FLASK
28883,2888 1.3L ALUMINUM VACUUM FLASK
28886,2888 1.6L ALUMINUM VACUUM FLASK
28889,2888 1.9L ALUMINUM VACUUM FLASK
30320,TARPULIN 32KG
30400,TARPULIN 40KG
30333,MANTEL 30M
GL6086,MANTEL ROSE CHECKERED 30M
35001,40x60 RECTANGULAR FOLDING TABLE
35004,50x70 RECTANGULAR FOLDING TABLE
35005,50x80 RECTANGULAR FOLDING  TABLE
35006,60x80 RECTANGULAR FOLDING TABLE
35007,70x70 SQUARE FOLDING  TABLE
35008,80x80 SQUARE FOLDING TABLE
35009,60x90 RECTANGULAR FOLDING TABLE
35010,90x90 SQUARE FOLDING  TABLE
35011,60x120 RECTANGULAR FOLDING TABLE
35012,90x90 ROUND FOLDING TABLE
35600,60x60 FOLDABLE TABLE
35700,70x70 FOLDABLE TABLE
35800,80x80 FOLDABLE TABLE
73050,30x50 FOLDING TABLE
74060,40x60 FOLDING TABLE
78082,STUDY TABLE GLASS
123B,3L TINTED GLASS RACK SQUARE
142A,2L GLASS RACK ROUND
143A,3L GLASS RACK ROUND
152A,2L GLASS RACK TRIANGLE
153A,3L GLASS RACK TRIANGLE
153B,3L TINTED GLASS RACK TRIANGLE
162B,2L TINTED GLASS RACK HEART
172A,2L GLASS RACK PEAR
173A,3L GLASS RACK PEAR
182A,2L GLASS RACK APPLE
183A,3L GLASS RACK APPLE
A101-2,40x60 FOLDING TABLE
A102-1,40x80 FOLDING TABLE
A103-1,60x60 FOLDING TABLE
A104-1,70x70 FOLDING TABLE
HK312,312 BABY TRICYCLE STROLLER
HK711A,711A BABY STROLLER
HK806,806 BABY TRICYCLE STROLLER
HK809,809 BABY TRICYCLE STROLLER
SBL3105,3105 BABY TRICYCLE STROLLER
81013,3PCS SINK STRAINER
81022,SINK STRAINER
82017,2PCS SINK STRAINER
82016,3 PCS SINK STRAINER
84014,14CM STRAINER
84016,16CM STRAINER
84018,18CM STRAINER
84020,20CM STRAINER
81318,STRAINER SET 6/8/10 CM
72525,BARBEQUE STICK 2.5x2.5CM
73031,BARBEQUE STICK 3.0x3.0CM
77127,REGULATOR
77100,1010B ELECTRIC SINGLE COIL PLATE
77200,2020B ELECTRIC DOUBLE COIL PLATE
20503,SB-3 MULTI STORAGE BOX 
20504,SB-4 MULTI STORAGE BOX 
20505,SB-5MULTI STORAGE BOX 
20506,SB-6 MULTI STORAGE BOX 
92335,1335 MULTIFUNCTION SOLAR LIGHTING SYSTEM AM/FM
92350,1350 MULTIFUNCTION SOLAR LIGHTING SYSTEM AM/FM
